work_order_id,cluster
WO-0000844,-1
WO-0000845,-1
WO-0000846,-1
WO-0000847,-1
WO-0000848,-1
WO-0000849,-1
WO-0000850,-1
WO-0000851,-1
WO-0000852,-1
WO-0000853,-1
WO-0000854,-1
WO-0000855,0
WO-0000856,-1
WO-0000857,-1
WO-0000858,0
WO-0000859,-1
WO-0000860,-1
WO-0000861,-1
WO-0000862,-1
WO-0000863,1
WO-0000864,-1
WO-0000865,-1
WO-0000866,0
WO-0000867,0
WO-0000868,-1
WO-0000869,0
WO-0000870,-1
WO-0000871,-1
WO-0000872,-1
WO-0000873,-1
WO-0000874,-1
WO-0000875,-1
WO-0000876,-1
WO-0000877,-1
WO-0000878,-1
WO-0000879,-1
WO-0000880,-1
WO-0000881,-1
WO-0000882,-1
WO-0000883,-1
WO-0000884,-1
WO-0000885,-1
WO-0000886,-1
WO-0000887,-1
WO-0000888,-1
WO-0000889,-1
WO-0000890,-1
WO-0000891,-1
WO-0000892,-1
WO-0000893,-1
WO-0000894,-1
WO-0000895,-1
WO-0000896,0
WO-0000897,0
WO-0000898,-1
WO-0000899,-1
WO-0000900,-1
WO-0000901,-1
WO-0000902,-1
WO-0000903,-1
WO-0000904,0
WO-0000905,-1
WO-0000906,-1
WO-0000907,-1
WO-0000908,-1
WO-0000909,-1
WO-0000910,-1
WO-0000911,-1
WO-0000912,-1
WO-0000913,-1
WO-0000914,-1
WO-0000915,-1
WO-0000916,-1
WO-0000917,-1
WO-0000918,0
WO-0000919,0
WO-0000920,-1
WO-0000921,-1
WO-0000922,-1
WO-0000923,0
WO-0000924,-1
WO-0000925,-1
WO-0000926,-1
WO-0000927,0
WO-0000928,-1
WO-0000929,-1
WO-0000930,-1
WO-0000931,-1
WO-0000932,-1
WO-0000933,-1
WO-0000934,-1
WO-0000935,-1
WO-0000936,-1
WO-0000937,-1
WO-0000938,-1
WO-0000939,-1
WO-0000940,-1
WO-0000941,-1
WO-0000942,-1
WO-0000943,-1
WO-0000944,-1
WO-0000945,-1
WO-0000946,-1
WO-0000947,-1
WO-0000948,-1
WO-0000949,-1
WO-0000950,-1
WO-0000951,-1
WO-0000952,0
WO-0000953,-1
WO-0000954,-1
WO-0000955,0
WO-0000956,-1
WO-0000957,-1
WO-0000958,-1
WO-0000959,-1
WO-0000960,-1
WO-0000961,-1
WO-0000962,-1
WO-0000963,-1
WO-0000964,-1
WO-0000965,0
WO-0000966,-1
WO-0000967,-1
WO-0000968,-1
WO-0000969,-1
WO-0000970,0
WO-0000971,-1
WO-0000972,-1
WO-0000973,-1
WO-0000974,-1
WO-0000975,-1
WO-0000976,-1
WO-0000977,-1
WO-0000978,-1
